No,商品名,サブ,色番,爪サンプル,質感,塗った回数,発注コード,商品符号,"チップ
画像","商品
画像",税抜価格,発売年月,ＪＡＮコード,MaisonKOSE,Amazon,楽天,ロハコ,＠コスメ,流通EC,,,,,,,,,,,,,,,
107,ネイルホリック,Galactic,GR712,,,2,47943,DLMI712,,●,¥300,2018/02,4971710479430,https://maison.kose.co.jp/site/nailholic/g/gDLMI028/,,,,,,,,,,,,,,,,,,,,
108,ネイルホリック,Lagoon ,GR713,,,2,49805,DLMI713,ORICOM様,●,¥300,2020/02,4971710498059,https://maison.kose.co.jp/site/nailholic/g/gDLMI713/,,,,,,,,,,,,,,,,,,,,
109,ネイルホリック,Lagoon ,GR714,,,2,49806,DLMI714,ORICOM様,●,¥300,2020/02,4971710498066,https://maison.kose.co.jp/site/nailholic/g/gDLMI713/,,,,,,,,,,,,,,,,,,,,
110,ネイルホリック,Lagoon ,GR715,,,2,49807,DLMI715,ORICOM様,●,¥300,2020/02,4971710498073,https://maison.kose.co.jp/site/nailholic/g/gDLMI713/,,,,,,,,,,,,,,,,,,,,
111,ネイルホリック,Lagoon ,GR716,,,2,49808,DLMI716,ORICOM様,●,¥300,2020/02,4971710498080,https://maison.kose.co.jp/site/nailholic/g/gDLMI713/,,,,,,,,,,,,,,,,,,,,
112,ネイルホリック,Vivid,PK800,,,2,44523,DLMI800,,●,¥300,2015/02,4971710445237,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
113,ネイルホリック,Vivid,PK801,,,2,44531,DLMI801,,●,¥300,2015/02,4971710445312,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
114,ネイルホリック,Classic,PK804,,,2,44520,DLMI804,,●,¥300,2015/02,4971710445206,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
115,ネイルホリック,Classic,BE805,,,2,44521,DLMI805,,●,¥300,2015/02,4971710445213,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
116,ネイルホリック,Classic,BE806,,,2,44522,DLMI806,,●,¥300,2015/02,4971710445220,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
117,ネイルホリック,Classic,BE807,,,2,44524,DLMI807,,●,¥300,2015/02,4971710445244,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
118,ネイルホリック,Classic,PK808,,,2,44525,DLMI808,,●,¥300,2015/02,4971710445251,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
119,ネイルホリック,Classic,PK809,,,2,44526,DLMI809,psd,●,¥300,2015/02,4971710445268,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
120,ネイルホリック,Juicy,PK810,,クリア,2,46647,DLMI810,,●,¥300,2016/08,4971710466478,https://maison.kose.co.jp/site/nailholic/g/gDLMI204/,,,,,,,,,,,,,,,,,,,,
